,accuracy,computationtime,dataset,kfolds,max,mean,method,min,std,trees
100,1.0,0.813999891281,bladder,5,1.0,1.0,randomforest,1.0,0.0,20
101,0.8,0.834000110626,bladder,20,1.0,0.8,randomforest,0.0,0.4,2
102,0.95,1.10899996758,bladder,20,1.0,0.95,randomforest,0.0,0.217944947177,5
103,0.95,1.92700004578,bladder,20,1.0,0.95,randomforest,0.0,0.217944947177,10
104,0.95,3.58899998665,bladder,20,1.0,0.95,randomforest,0.0,0.217944947177,20
105,0.94,4.86299991608,bladder,50,1.0,0.94,adaboost,0.0,0.237486841741,2
106,0.98,5.11000013351,bladder,50,1.0,0.98,adaboost,0.0,0.14,5
107,0.92,5.02699995041,bladder,50,1.0,0.92,adaboost,0.0,0.271293199325,10
108,0.96,4.66299986839,bladder,50,1.0,0.96,adaboost,0.0,0.195959179423,20
109,1.0,0.125,bladder,5,1.0,1.0,adaboost,1.0,0.0,2
110,1.0,0.110000133514,bladder,5,1.0,1.0,adaboost,1.0,0.0,5
111,1.0,0.125,bladder,5,1.0,1.0,adaboost,1.0,0.0,10
112,1.0,0.128999948502,bladder,5,1.0,1.0,adaboost,1.0,0.0,20
113,0.85,0.930999994278,bladder,20,1.0,0.85,adaboost,0.0,0.357071421427,2
114,0.85,0.924999952316,bladder,20,1.0,0.85,adaboost,0.0,0.357071421427,5
115,0.95,1.06599998474,bladder,20,1.0,0.95,adaboost,0.0,0.217944947177,10
116,0.95,0.923000097275,bladder,20,1.0,0.95,adaboost,0.0,0.217944947177,20
117,0.78,6.08900022507,liver,50,1.0,0.78,bagging,0.0,0.414246303544,2
118,0.86,13.9449999332,liver,50,1.0,0.86,bagging,0.0,0.346987031458,5
119,0.86,24.7009999752,liver,50,1.0,0.86,bagging,0.0,0.346987031458,10
120,0.88,49.263999939,liver,50,1.0,0.88,bagging,0.0,0.324961536185,20
121,0.8,0.204999923706,liver,5,1.0,0.8,bagging,0.0,0.4,2
122,0.8,0.302999973297,liver,5,1.0,0.8,bagging,0.0,0.4,5
123,0.6,0.523000001907,liver,5,1.0,0.6,bagging,0.0,0.489897948557,10
124,0.8,0.917000055313,liver,5,1.0,0.8,bagging,0.0,0.4,20
125,0.7,1.28099989891,liver,20,1.0,0.7,bagging,0.0,0.458257569496,2
126,0.65,2.42399978638,liver,20,1.0,0.65,bagging,0.0,0.476969600708,5
127,0.65,4.78500008583,liver,20,1.0,0.65,bagging,0.0,0.476969600708,10
128,0.65,8.84500002861,liver,20,1.0,0.65,bagging,0.0,0.476969600708,20
129,0.88,6.65000009537,liver,50,1.0,0.88,dtree,0.0,0.0,1
130,0.8,0.142000198364,liver,5,1.0,0.8,dtree,0.0,0.0,1
131,0.75,0.918999910355,liver,20,1.0,0.75,dtree,0.0,0.0,1
132,0.72,2.53400015831,liver,50,1.0,0.72,randomforest,0.0,0.448998886413,2
133,0.86,3.59399986267,liver,50,1.0,0.86,randomforest,0.0,0.346987031458,5
134,0.84,5.52699995041,liver,50,1.0,0.84,randomforest,0.0,0.366606055596,10
135,0.86,10.2999999523,liver,50,1.0,0.86,randomforest,0.0,0.346987031458,20
136,0.8,0.225999832153,liver,5,1.0,0.8,randomforest,0.0,0.4,2
137,0.6,0.570999860764,liver,5,1.0,0.6,randomforest,0.0,0.489897948557,5
138,0.8,0.514000177383,liver,5,1.0,0.8,randomforest,0.0,0.4,10
139,0.8,0.854000091553,liver,5,1.0,0.8,randomforest,0.0,0.4,20
140,0.65,0.837000131607,liver,20,1.0,0.65,randomforest,0.0,0.476969600708,2
141,0.65,1.32799983025,liver,20,1.0,0.65,randomforest,0.0,0.476969600708,5
142,0.6,2.92699980736,liver,20,1.0,0.6,randomforest,0.0,0.489897948557,10
143,0.75,3.59600019455,liver,20,1.0,0.75,randomforest,0.0,0.433012701892,20
