,accuracy,computationtime,dataset,kfolds,max,mean,method,min,std,trees
67,0.532258064516,0.125,colon,2,0.709677419355,0.532258064516,adaboost,0.354838709677,0.177419354839,5
68,0.564516129032,0.218000173569,colon,2,0.741935483871,0.564516129032,adaboost,0.387096774194,0.177419354839,10
69,0.564516129032,0.411000013351,colon,2,0.774193548387,0.564516129032,adaboost,0.354838709677,0.209677419355,20
70,0.693939393939,0.165999889374,colon,3,0.8,0.693939393939,adaboost,0.6,0.0820982859645,2
71,0.710606060606,0.354000091553,colon,3,0.85,0.710606060606,adaboost,0.6,0.104072271279,5
72,0.727272727273,0.710999965668,colon,3,0.85,0.727272727273,adaboost,0.65,0.087748074155,10
73,0.821212121212,1.41000008583,colon,3,0.863636363636,0.821212121212,adaboost,0.75,0.0506613742342,20
74,0.771794871795,0.30999994278,colon,5,0.923076923077,0.771794871795,adaboost,0.666666666667,0.0987762065859,2
75,0.769230769231,0.688999891281,colon,5,0.923076923077,0.769230769231,adaboost,0.5,0.187679346617,5
76,0.785897435897,1.33700013161,colon,5,0.923076923077,0.785897435897,adaboost,0.5,0.173603188511,10
77,0.869230769231,2.79200005531,colon,5,1.0,0.869230769231,adaboost,0.666666666667,0.114210551032,20
78,0.625504032258,0.355999946594,bladder,2,0.71875,0.625504032258,bagging,0.532258064516,0.0932459677419,2
79,0.927923387097,0.803999900818,bladder,2,0.96875,0.927923387097,bagging,0.887096774194,0.0408266129032,5
80,0.912550403226,1.51800012589,bladder,2,0.921875,0.912550403226,bagging,0.903225806452,0.00932459677419,10
81,0.960433467742,2.99699997902,bladder,2,0.967741935484,0.960433467742,bagging,0.953125,0.00730846774194,20
82,0.806541019956,0.735999822617,bladder,3,0.931818181818,0.806541019956,bagging,0.707317073171,0.0934853445124,2
83,0.928492239468,1.61100006104,bladder,3,0.931818181818,0.928492239468,bagging,0.926829268293,0.00235179638976,5
84,0.95288248337,3.1210000515,bladder,3,0.975609756098,0.95288248337,bagging,0.931818181818,0.0179164654125,10
85,0.992424242424,6.47699999809,bladder,3,1.0,0.992424242424,bagging,0.977272727273,0.0107137391089,20
86,0.830700854701,1.48200011253,bladder,5,0.888888888889,0.830700854701,bagging,0.666666666667,0.0844241368017,2
87,0.935259259259,3.82999992371,bladder,5,1.0,0.935259259259,bagging,0.833333333333,0.0672200897529,5
88,0.961444444444,7.23300004005,bladder,5,1.0,0.961444444444,bagging,0.888888888889,0.0406180644602,10
89,0.976851851852,13.7490000725,bladder,5,1.0,0.976851851852,bagging,0.925925925926,0.0301459640669,20
90,0.793094758065,0.297999858856,bladder,2,0.828125,0.793094758065,dtree,0.758064516129,0.0,1
91,0.89652623799,0.782999992371,bladder,3,0.926829268293,0.89652623799,dtree,0.853658536585,0.0,1
92,0.880344729345,1.31299996376,bladder,5,0.961538461538,0.880344729345,dtree,0.833333333333,0.0,1
93,0.833921370968,0.109000205994,bladder,2,0.870967741935,0.833921370968,randomforest,0.796875,0.0370463709677,2
94,0.841733870968,0.140999794006,bladder,2,0.870967741935,0.841733870968,randomforest,0.8125,0.0292338709677,5
95,0.976310483871,0.235000133514,bladder,2,0.983870967742,0.976310483871,randomforest,0.96875,0.00756048387097,10
96,0.952116935484,0.375,bladder,2,0.96875,0.952116935484,randomforest,0.935483870968,0.0166330645161,20
97,0.833148558758,0.184000015259,bladder,3,0.853658536585,0.833148558758,randomforest,0.80487804878,0.0206567727726,2
98,0.892276422764,0.25,bladder,3,0.975609756098,0.892276422764,randomforest,0.75,0.1010961798,5
99,0.920916481892,0.395999908447,bladder,3,0.951219512195,0.920916481892,randomforest,0.90243902439,0.0215988753824,10
100,0.929046563193,0.608999967575,bladder,3,0.975609756098,0.929046563193,randomforest,0.90243902439,0.0330369499462,20
101,0.895111111111,0.266000032425,bladder,5,1.0,0.895111111111,randomforest,0.791666666667,0.0674760131134,2
102,0.935592592593,0.393000125885,bladder,5,1.0,0.935592592593,randomforest,0.84,0.0661137980572,5
103,0.953111111111,0.625,bladder,5,1.0,0.953111111111,randomforest,0.888888888889,0.0444910866368,10
104,0.968518518519,1.1099998951,bladder,5,1.0,0.968518518519,randomforest,0.916666666667,0.0386678018849,20
105,0.72127016129,0.384999990463,bladder,2,0.78125,0.72127016129,adaboost,0.661290322581,0.0599798387097,2
106,0.865675403226,0.655999898911,bladder,2,0.903225806452,0.865675403226,adaboost,0.828125,0.0375504032258,5
