,aveaccuracy,computationtime,cancertype,kfolds,maxsinglefold,mean,method,minsinglefold,std,ntrees
63,0.689393939394,0.0488529205322,colon,3,0.818181818182,0.689393939394,bagging,0.55,0.109741327044,2
64,0.824242424242,0.0969181060791,colon,3,1,0.824242424242,bagging,0.7,0.12777677965,5
65,0.787878787879,0.197369813919,colon,3,0.9,0.787878787879,bagging,0.6,0.133677242425,10
66,0.709090909091,0.400130987167,colon,3,0.95,0.709090909091,bagging,0.45,0.204528618836,20
67,0.675757575758,1.18868803978,colon,3,0.8,0.675757575758,bagging,0.5,0.12777677965,60
68,0.692424242424,2.01882004738,colon,3,0.9,0.692424242424,bagging,0.45,0.18535697572,100
69,0.578205128205,0.103277921677,colon,5,0.692307692308,0.578205128205,bagging,0.416666666667,0.104343538202,2
70,0.785897435897,0.222934007645,colon,5,0.923076923077,0.785897435897,bagging,0.583333333333,0.127472264325,5
71,0.770512820513,0.425828933716,colon,5,0.923076923077,0.770512820513,bagging,0.5,0.163902121174,10
72,0.785897435897,0.868968963623,colon,5,1,0.785897435897,bagging,0.583333333333,0.136440617404,20
73,0.784615384615,2.64857292175,colon,5,1,0.784615384615,bagging,0.416666666667,0.20224739929,60
74,0.834615384615,4.21889996529,colon,5,1,0.834615384615,bagging,0.5,0.175430343416,100
75,0.5,0.0153911113739,colon,2,0.645161290323,0.5,dtree,0.354838709677,0,1
76,0.663636363636,0.038076877594,colon,3,0.75,0.663636363636,dtree,0.590909090909,0,1
77,0.852564102564,0.081118106842,colon,5,0.923076923077,0.852564102564,dtree,0.666666666667,0,1
78,0.612903225806,0.0115849971771,colon,2,0.645161290323,0.612903225806,randomforest,0.58064516129,0.0322580645161,2
79,0.645161290323,0.0202360153198,colon,2,0.709677419355,0.645161290323,randomforest,0.58064516129,0.0645161290323,5
80,0.758064516129,0.0414249897003,colon,2,0.838709677419,0.758064516129,randomforest,0.677419354839,0.0806451612903,10
81,0.758064516129,0.0616550445557,colon,2,0.870967741935,0.758064516129,randomforest,0.645161290323,0.112903225806,20
82,0.741935483871,0.187592029572,colon,2,0.870967741935,0.741935483871,randomforest,0.612903225806,0.129032258065,60
83,0.741935483871,0.33215713501,colon,2,0.870967741935,0.741935483871,randomforest,0.612903225806,0.129032258065,100
84,0.657575757576,0.0152559280396,colon,3,0.772727272727,0.657575757576,randomforest,0.55,0.0910856870618,2
85,0.624242424242,0.0378868579865,colon,3,0.772727272727,0.624242424242,randomforest,0.5,0.112652304821,5
86,0.656060606061,0.0550529956818,colon,3,0.818181818182,0.656060606061,randomforest,0.45,0.153487166814,10
87,0.768181818182,0.111717939377,colon,3,0.954545454545,0.768181818182,randomforest,0.5,0.194376874,20
88,0.739393939394,0.29470705986,colon,3,0.85,0.739393939394,randomforest,0.55,0.134550231965,60
89,0.740909090909,0.469483852386,colon,3,0.85,0.740909090909,randomforest,0.6,0.104512511279,100
90,0.707692307692,0.0252451896667,colon,5,0.846153846154,0.707692307692,randomforest,0.666666666667,0.0699393933179,2
91,0.757692307692,0.0578598976135,colon,5,0.846153846154,0.757692307692,randomforest,0.666666666667,0.0723422357932,5
92,0.753846153846,0.101988077164,colon,5,0.923076923077,0.753846153846,randomforest,0.333333333333,0.219324466407,10
93,0.751282051282,0.181258916855,colon,5,1,0.751282051282,randomforest,0.333333333333,0.253619427367,20
94,0.851282051282,0.534526109695,colon,5,1,0.851282051282,randomforest,0.583333333333,0.143989827239,60
95,0.819230769231,0.864637851715,colon,5,1,0.819230769231,randomforest,0.583333333333,0.143761344348,100
