,aveaccuracy,cancertype,computationtime,fold0,fold1,fold2,fold3,fold4,maxsinglefold,minsinglefold,ntrees,std,timestamp,method
25,0.878042328042328,prostate,56.80173546800506,0.8214285714285714,0.8214285714285714,0.8928571428571429,0.9285714285714286,0.9259259259259259,0.9285714285714286,0.8214285714285714,20,0.04790770827413613,2016-07-26 02:15:52.355029,homebrewRF
26,0.9497354497354499,prostate,174.6090008119936,1,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.9629629629629629,1,0.8928571428571429,60,0.03632150851255548,2016-07-26 02:18:46.959753,homebrewRF
27,0.956878306878307,prostate,295.0412705110066,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.9629629629629629,0.9642857142857143,0.9285714285714286,100,0.014162707740025569,2016-07-26 02:23:41.993692,homebrewRF
28,0.8384615384615385,colon,3.113786326997797,0.7692307692307693,0.9230769230769231,0.75,0.75,1,1,0.75,1,0.10363225834851908,2016-07-26 02:23:45.263544,homebrewRF
29,0.7128205128205128,colon,6.7722911320015555,0.5384615384615384,0.6923076923076923,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.5384615384615384,2,0.14398982723947884,2016-07-26 02:23:52.035798,homebrewRF
30,0.7282051282051281,colon,17.556377312008408,0.6923076923076923,0.6153846153846154,0.75,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.6153846153846154,5,0.10372737746753222,2016-07-26 02:24:09.591843,homebrewRF
31,0.8576923076923076,colon,34.959151611998095,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.9166666666666666,1,1,0.7692307692307693,10,0.08941331166237278,2016-07-26 02:24:44.550267,homebrewRF
32,0.8717948717948719,colon,68.81378246498934,0.8461538461538461,0.8461538461538461,0.8333333333333334,0.8333333333333334,1,1,0.8333333333333334,20,0.06435846357954426,2016-07-26 02:25:53.362321,homebrewRF
33,0.9051282051282051,colon,208.2808734769933,0.7692307692307693,0.9230769230769231,0.9166666666666666,0.9166666666666666,1,1,0.7692307692307693,60,0.07490954439995662,2016-07-26 02:29:21.637782,homebrewRF
34,0.9192307692307693,colon,352.38153585098917,0.9230769230769231,0.9230769230769231,0.9166666666666666,0.8333333333333334,1,1,0.8333333333333334,100,0.05279810328711281,2016-07-26 02:35:14.010063,homebrewRF
